3.1257 3.1257 0
3.08438 3.10504 0.0206589
3.11319 3.10775 0.0122328
3.1746 3.12447 0.0188179
3.09563 3.1187 0.0156756
3.12152 3.11917 0.0128077
3.07523 3.11289 0.0125126
3.09975 3.11125 0.0109601
3.22395 3.12377 0.0158188
3.20183 3.13158 0.0161592
3.10387 3.12906 0.014832
3.07929 3.12491 0.0141606
3.09769 3.12282 0.0131931
3.11839 3.1225 0.0122186
3.23737 3.13016 0.0137124
3.12465 3.12981 0.0128314
3.19744 3.13379 0.0126925
3.13094 3.13363 0.0119677
3.14996 3.13449 0.0113529
3.08132 3.13183 0.0110935
3.09051 3.12987 0.010734
3.10593 3.12878 0.0102921
3.11423 3.12815 0.00985477
3.19088 3.13076 0.00979064
3.17676 3.1326 0.00956944
3.11423 3.13189 0.00922115
3.09975 3.1307 0.00895258
3.19744 3.13309 0.00895014
3.1049 3.13211 0.00869052
3.06413 3.12985 0.00869632
3.10181 3.12894 0.00845962
3.13937 3.12927 0.00819747
3.10593 3.12856 0.00797658
3.16814 3.12973 0.00782547
3.24299 3.13296 0.00825903
3.11319 3.13241 0.00804511
3.13515 3.13249 0.007825
3.21728 3.13472 0.00793645
3.13199 3.13465 0.00773059
3.12884 3.1345 0.00753625
3.13094 3.13442 0.00735065
3.17568 3.1354 0.00724048
3.13831 3.13547 0.00707041
3.18327 3.13655 0.00699275
3.15102 3.13687 0.00684315
3.10697 3.13622 0.00672423
3.15102 3.13654 0.00658714
3.08234 3.13541 0.00654655
3.18218 3.13636 0.00648221
3.1617 3.13687 0.00637142
3.18327 3.13778 0.00631115
3.13094 3.13765 0.00618999
3.18001 3.13845 0.00612445
3.18544 3.13932 0.00607264
3.16599 3.1398 0.00598089
3.21506 3.14115 0.00602492
3.11839 3.14075 0.00593173
3.19854 3.14174 0.00591311
3.10697 3.14116 0.00584184
3.16063 3.14148 0.00575281
3.11111 3.14098 0.00567958
3.14996 3.14113 0.0055891
3.11007 3.14063 0.00552171
3.09461 3.13991 0.00548213
3.09153 3.13917 0.00544822
3.19744 3.14005 0.0054372
3.19088 3.14081 0.0054089
3.11423 3.14042 0.00534309
3.18544 3.14107 0.00530535
3.19744 3.14188 0.00529065
3.10284 3.14133 0.00524451
3.19635 3.14209 0.00522731
3.18544 3.14269 0.00518929
3.22506 3.1438 0.00523833
3.16814 3.14412 0.00517819
3.20073 3.14487 0.0051636
3.1811 3.14534 0.00511777
3.15422 3.14545 0.00505302
3.11943 3.14512 0.00499951
3.07625 3.14426 0.00501114
3.19088 3.14484 0.00498224
3.17893 3.14525 0.00493863
3.09769 3.14468 0.00491231
3.20183 3.14536 0.00490093
3.0854 3.14466 0.00489404
3.13304 3.14452 0.00483868
3.08031 3.14378 0.00483936
3.1811 3.14421 0.0048028
3.2543 3.14544 0.00490701
3.16814 3.1457 0.00485873
3.09153 3.1451 0.00484176
3.1049 3.14466 0.00480874
3.16599 3.14489 0.00476227
3.09563 3.14437 0.0047404
3.07726 3.14366 0.00474313
3.09051 3.14311 0.00472601
3.14677 3.14315 0.00467719
3.10078 3.14271 0.00464936
3.1049 3.14233 0.00461798
3.12779 3.14219 0.00457388
