                 -86.3006,32.3777                 -84.5553,42.7336                 -78.6391,35.7804                 -97.7403,30.2747                  -95.678,39.0482                 -81.6123,38.3362                 -100.346,44.367                  -71.538,43.2069                 -74.7699,40.2206                  -89.655,39.7984                 -71.0637,42.3582                 -84.8754,38.1867                 -81.0332,34.0003                   -116.2,43.6178                 -86.7842,36.1658                  -71.415,41.8309                 -111.888,40.7775                 -112.018,46.5857                 -89.3844,43.0747                 -82.9991,39.9613                 -75.5197,39.1573                 -72.5805,44.2624                 -77.4336,37.5389                 -72.6822,41.764                 -73.7579,42.6528                 -104.985,39.7392                  -92.289,34.7466                 -96.6997,40.8081                 -84.3882,33.749                 -119.766,39.1639                 -121.494,38.5767                 -157.857,21.3074                 -122.905,47.0358                 -90.1821,32.3038                 -97.5033,35.4922                 -93.1022,44.9551                 -84.2813,30.4381                 -69.7817,44.3072                 -100.783,46.8209                  -104.82,41.1403                  -134.42,58.3016                  -105.94,35.6822                 -76.4909,38.9788                 -92.1729,38.5792                 -112.097,33.4481                 -86.1626,39.7686                 -91.1874,30.4571                 -93.6037,41.5911                  -123.03,44.9385                 -76.8836,40.2644
                 -86.3006,32.3777                 -84.5553,42.7336                 -78.6391,35.7804                 -97.7403,30.2747                  -105.94,35.6822                   -116.2,43.6178                 -100.346,44.367                  -71.538,43.2069                 -77.4336,37.5389                 -76.8836,40.2644                 -71.0637,42.3582                 -84.8754,38.1867                 -93.6037,41.5911                 -86.7842,36.1658                 -81.6123,38.3362                  -71.415,41.8309                 -74.7699,40.2206                 -112.018,46.5857                 -89.3844,43.0747                 -82.9991,39.9613                 -75.5197,39.1573                 -72.5805,44.2624                 -92.1729,38.5792                 -72.6822,41.764                 -73.7579,42.6528                 -104.985,39.7392                  -92.289,34.7466                 -96.6997,40.8081                 -84.3882,33.749                 -121.494,38.5767                 -86.1626,39.7686                 -157.857,21.3074                 -122.905,47.0358                 -90.1821,32.3038                 -97.5033,35.4922                 -93.1022,44.9551                  -89.655,39.7984                 -69.7817,44.3072                 -100.783,46.8209                 -91.1874,30.4571                 -81.0332,34.0003                  -95.678,39.0482                 -76.4909,38.9788                 -111.888,40.7775                 -112.097,33.4481                 -119.766,39.1639                  -104.82,41.1403                  -134.42,58.3016                  -123.03,44.9385                 -84.2813,30.4381
                 -86.3006,32.3777                 -89.3844,43.0747                 -82.9991,39.9613                 -75.5197,39.1573                 -72.5805,44.2624                 -77.4336,37.5389                 -72.6822,41.764                 -73.7579,42.6528                 -104.985,39.7392                  -92.289,34.7466                 -96.6997,40.8081                 -84.3882,33.749                 -119.766,39.1639                 -121.494,38.5767                 -157.857,21.3074                 -122.905,47.0358                 -90.1821,32.3038                 -97.5033,35.4922                 -93.1022,44.9551                 -84.2813,30.4381                 -69.7817,44.3072                 -100.783,46.8209                  -104.82,41.1403                 -81.0332,34.0003                  -105.94,35.6822                 -76.4909,38.9788                 -92.1729,38.5792                 -112.097,33.4481                 -84.5553,42.7336                 -86.1626,39.7686                 -91.1874,30.4571                 -93.6037,41.5911                  -123.03,44.9385                 -76.8836,40.2644                 -78.6391,35.7804                 -97.7403,30.2747                  -95.678,39.0482                 -81.6123,38.3362                 -100.346,44.367                  -71.538,43.2069                 -74.7699,40.2206                  -89.655,39.7984                 -71.0637,42.3582                 -84.8754,38.1867                  -134.42,58.3016                   -116.2,43.6178                 -86.7842,36.1658                  -71.415,41.8309                 -111.888,40.7775                 -112.018,46.5857
                 -86.3006,32.3777                 -84.5553,42.7336                  -89.655,39.7984                 -84.3882,33.749                 -96.6997,40.8081                  -92.289,34.7466                 -104.985,39.7392                 -73.7579,42.6528                 -72.6822,41.764                 -92.1729,38.5792                 -72.5805,44.2624                 -75.5197,39.1573                 -82.9991,39.9613                 -89.3844,43.0747                 -112.018,46.5857                 -74.7699,40.2206                  -71.415,41.8309                 -81.6123,38.3362                 -86.7842,36.1658                 -93.6037,41.5911                 -84.8754,38.1867                 -71.0637,42.3582                 -121.494,38.5767                 -77.4336,37.5389                  -71.538,43.2069                 -100.346,44.367                   -116.2,43.6178                  -105.94,35.6822                 -97.7403,30.2747                 -78.6391,35.7804                 -86.1626,39.7686                 -157.857,21.3074                 -122.905,47.0358                 -90.1821,32.3038                 -97.5033,35.4922                 -93.1022,44.9551                 -84.2813,30.4381                 -69.7817,44.3072                 -100.783,46.8209                 -91.1874,30.4571                 -81.0332,34.0003                  -95.678,39.0482                 -76.4909,38.9788                 -111.888,40.7775                 -112.097,33.4481                 -119.766,39.1639                  -104.82,41.1403                  -134.42,58.3016                  -123.03,44.9385                 -76.8836,40.2644
                 -86.3006,32.3777                 -84.5553,42.7336                 -78.6391,35.7804                 -97.7403,30.2747                  -105.94,35.6822                   -116.2,43.6178                 -100.346,44.367                  -71.538,43.2069                 -111.888,40.7775                  -89.655,39.7984                 -157.857,21.3074                 -122.905,47.0358                 -90.1821,32.3038                 -97.5033,35.4922                 -93.1022,44.9551                 -84.2813,30.4381                 -69.7817,44.3072                 -100.783,46.8209                 -91.1874,30.4571                 -81.0332,34.0003                  -95.678,39.0482                 -76.4909,38.9788                 -77.4336,37.5389                 -72.6822,41.764                 -73.7579,42.6528                 -104.985,39.7392                  -92.289,34.7466                 -96.6997,40.8081                 -84.3882,33.749                 -121.494,38.5767                 -86.1626,39.7686                 -71.0637,42.3582                 -84.8754,38.1867                 -93.6037,41.5911                 -86.7842,36.1658                 -81.6123,38.3362                  -71.415,41.8309                 -74.7699,40.2206                 -112.018,46.5857                 -89.3844,43.0747                 -82.9991,39.9613                 -75.5197,39.1573                 -72.5805,44.2624                 -92.1729,38.5792                 -112.097,33.4481                 -119.766,39.1639                  -104.82,41.1403                  -134.42,58.3016                  -123.03,44.9385                 -76.8836,40.2644
                 -86.3006,32.3777                 -84.2813,30.4381                 -84.5553,42.7336                 -76.8836,40.2644                 -71.0637,42.3582                  -71.415,41.8309                 -81.0332,34.0003                 -97.7403,30.2747                 -97.5033,35.4922                 -84.3882,33.749                 -86.7842,36.1658                 -90.1821,32.3038                 -121.494,38.5767                 -82.9991,39.9613                 -112.018,46.5857                 -73.7579,42.6528                 -93.6037,41.5911                 -74.7699,40.2206                 -112.097,33.4481                 -104.985,39.7392                  -71.538,43.2069                 -76.4909,38.9788                 -69.7817,44.3072                 -72.5805,44.2624                 -92.1729,38.5792                 -84.8754,38.1867                 -111.888,40.7775                  -104.82,41.1403                 -89.3844,43.0747                 -77.4336,37.5389                 -72.6822,41.764                 -93.1022,44.9551                  -89.655,39.7984                   -116.2,43.6178                 -157.857,21.3074                 -86.1626,39.7686                 -100.346,44.367                 -100.783,46.8209                  -95.678,39.0482                 -119.766,39.1639                  -134.42,58.3016                  -123.03,44.9385                 -75.5197,39.1573                 -78.6391,35.7804                 -91.1874,30.4571                  -105.94,35.6822                 -81.6123,38.3362                 -122.905,47.0358                 -96.6997,40.8081                  -92.289,34.7466
                 -86.3006,32.3777                 -84.5553,42.7336                  -71.538,43.2069                 -75.5197,39.1573                  -95.678,39.0482                 -81.6123,38.3362                 -100.346,44.367                 -78.6391,35.7804                 -74.7699,40.2206                 -76.4909,38.9788                 -71.0637,42.3582                 -84.8754,38.1867                 -81.0332,34.0003                   -116.2,43.6178                 -86.7842,36.1658                  -71.415,41.8309                 -111.888,40.7775                 -112.018,46.5857                 -89.3844,43.0747                  -134.42,58.3016                  -105.94,35.6822                 -86.1626,39.7686                 -90.1821,32.3038                 -72.6822,41.764                 -73.7579,42.6528                 -104.985,39.7392                  -92.289,34.7466                 -96.6997,40.8081                 -84.3882,33.749                 -119.766,39.1639                 -121.494,38.5767                 -157.857,21.3074                  -89.655,39.7984                 -92.1729,38.5792                 -97.5033,35.4922                 -93.1022,44.9551                 -84.2813,30.4381                 -69.7817,44.3072                 -100.783,46.8209                  -104.82,41.1403                 -82.9991,39.9613                  -123.03,44.9385                 -72.5805,44.2624                 -77.4336,37.5389                 -112.097,33.4481                 -122.905,47.0358                 -91.1874,30.4571                 -93.6037,41.5911                 -97.7403,30.2747                 -76.8836,40.2644
                 -86.3006,32.3777                 -84.5553,42.7336                 -78.6391,35.7804                 -97.7403,30.2747                  -105.94,35.6822                   -116.2,43.6178                 -100.346,44.367                  -71.538,43.2069                 -111.888,40.7775                  -89.655,39.7984                 -71.0637,42.3582                 -84.8754,38.1867                 -93.6037,41.5911                 -86.7842,36.1658                 -81.6123,38.3362                  -71.415,41.8309                 -74.7699,40.2206                 -112.018,46.5857                 -89.3844,43.0747                 -97.5033,35.4922                 -75.5197,39.1573                 -72.5805,44.2624                 -92.1729,38.5792                 -72.6822,41.764                 -73.7579,42.6528                 -104.985,39.7392                  -92.289,34.7466                 -96.6997,40.8081                 -84.3882,33.749                 -121.494,38.5767                 -86.1626,39.7686                 -157.857,21.3074                 -122.905,47.0358                 -90.1821,32.3038                 -82.9991,39.9613                 -93.1022,44.9551                 -84.2813,30.4381                 -69.7817,44.3072                 -100.783,46.8209                 -91.1874,30.4571                 -81.0332,34.0003                  -95.678,39.0482                 -76.4909,38.9788                 -77.4336,37.5389                 -112.097,33.4481                 -119.766,39.1639                  -104.82,41.1403                  -134.42,58.3016                  -123.03,44.9385                 -76.8836,40.2644
                 -86.3006,32.3777                 -84.5553,42.7336                  -71.538,43.2069                 -75.5197,39.1573                  -95.678,39.0482                 -81.6123,38.3362                 -97.5033,35.4922                 -78.6391,35.7804                 -74.7699,40.2206                 -76.4909,38.9788                 -71.0637,42.3582                 -84.8754,38.1867                 -81.0332,34.0003                   -116.2,43.6178                 -86.7842,36.1658                  -71.415,41.8309                 -111.888,40.7775                 -112.018,46.5857                 -89.3844,43.0747                 -82.9991,39.9613                  -123.03,44.9385                 -122.905,47.0358                  -105.94,35.6822                  -134.42,58.3016                  -104.82,41.1403                 -100.783,46.8209                 -69.7817,44.3072                 -84.2813,30.4381                 -93.1022,44.9551                 -100.346,44.367                 -92.1729,38.5792                  -89.655,39.7984                 -157.857,21.3074                 -121.494,38.5767                 -119.766,39.1639                 -84.3882,33.749                 -96.6997,40.8081                  -92.289,34.7466                 -104.985,39.7392                 -73.7579,42.6528                 -72.6822,41.764                 -77.4336,37.5389                 -72.5805,44.2624                 -90.1821,32.3038                 -112.097,33.4481                 -86.1626,39.7686                 -91.1874,30.4571                 -93.6037,41.5911                 -97.7403,30.2747                 -76.8836,40.2644
                 -86.3006,32.3777                 -84.2813,30.4381                 -93.1022,44.9551                 -104.985,39.7392                 -96.6997,40.8081                 -84.5553,42.7336                 -72.6822,41.764                 -81.0332,34.0003                 -77.4336,37.5389                  -104.82,41.1403                 -86.1626,39.7686                 -90.1821,32.3038                  -89.655,39.7984                 -119.766,39.1639                 -74.7699,40.2206                 -73.7579,42.6528                  -123.03,44.9385                 -84.8754,38.1867                 -97.7403,30.2747                  -71.538,43.2069                 -86.7842,36.1658                 -76.4909,38.9788                 -69.7817,44.3072                 -72.5805,44.2624                   -116.2,43.6178                 -121.494,38.5767                 -111.888,40.7775                  -92.289,34.7466                  -105.94,35.6822                 -84.3882,33.749                 -71.0637,42.3582                 -112.018,46.5857                 -93.6037,41.5911                 -92.1729,38.5792                 -76.8836,40.2644                  -71.415,41.8309                 -100.346,44.367                 -97.5033,35.4922                 -100.783,46.8209                 -157.857,21.3074                  -134.42,58.3016                 -82.9991,39.9613                 -75.5197,39.1573                 -78.6391,35.7804                 -91.1874,30.4571                 -89.3844,43.0747                 -81.6123,38.3362                 -122.905,47.0358                 -112.097,33.4481                  -95.678,39.0482
