           1     1.87356     1.87356           0
           2     1.88559     1.87957  0.00425284
           3     1.87301     1.87739  0.00335084
           4     1.88058     1.87818  0.00260642
           5     1.86191     1.87493  0.00358084
           6     1.85735       1.872  0.00400706
           7     1.86685     1.87126  0.00350141
           8     1.87626     1.87189  0.00311898
           9     1.88286     1.87311  0.00300119
          10     1.86632     1.87243  0.00277669
          11     1.91028     1.87587  0.00413932
          12     1.89331     1.87732  0.00404154
          13     1.85477     1.87559  0.00408605
          14     1.88979      1.8766  0.00391806
          15     1.88771     1.87734   0.0037262
          16     1.87108     1.87695  0.00351383
          17     1.89631     1.87809  0.00348681
          18     1.85582     1.87685  0.00350578
          19     1.88066     1.87705  0.00332698
          20     1.89412     1.87791  0.00326818
          21     1.85576     1.87685  0.00327828
          22     1.89473     1.87767  0.00322839
          23     1.86381     1.87706  0.00314376
          24     1.89951       1.878  0.00314887
          25     1.88924     1.87845  0.00305484
          26     1.88967     1.87888  0.00296765
          27     1.88184     1.87899  0.00285976
          28     1.88228     1.87911  0.00276004
          29     1.89389     1.87962  0.00271154
          30      1.8713     1.87934  0.00263529
